run_id,run_name,loss_type,lr,margin,scale,k,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_epochs
zrxj4kp0,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-090102,subcenter_arcface,6.954606174927296e-06,0.10122127205771787,32.0,1,0.010416666666666685,0.010416666666666685,0.0,0.0035179441850076995,True,3
y06o5s7j,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-100058,subcenter_arcface,0.0008872295056716399,0.12208978096463656,32.0,2,0.2518656716417911,0.2518656716417911,0.0,0.037619452345351245,True,3
rvnbs54x,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-110047,subcenter_arcface,3.36138825487078e-05,0.1605793453918152,32.0,2,0.035758706467661674,0.06110074626865672,0.025342039800995045,0.010633186749956468,False,3
orpesxuf,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-120037,subcenter_arcface,3.272340541002532e-05,0.16551481785083108,32.0,2,0.035758706467661674,0.06110074626865672,0.025342039800995045,0.010633186749956468,False,3
vh9o2inh,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-130110,subcenter_arcface,7.236928688484983e-06,0.10810313160691544,32.0,2,0.025342039800995045,0.025342039800995045,0.0,0.0,False,3
sjxakmhf,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-140107,subcenter_arcface,1.6085473192878338e-06,0.280289516736416,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
1y6a7189,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-150128,subcenter_arcface,1.0423873577490028e-06,0.493251122253887,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
xq962yuu,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-160128,subcenter_arcface,1.2061839259150794e-05,0.5968898730152253,32.0,2,0.025342039800995045,0.025342039800995045,0.0,0.016856815886495215,True,3
tghrtkby,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-170142,subcenter_arcface,3.793768687706259e-06,0.3923755651691402,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0035179441850077,True,3
jfm0kync,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-180152,subcenter_arcface,1.003799537031708e-06,0.1340344878989194,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
eekyq6ko,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-190202,subcenter_arcface,1.05254362690463e-06,0.4010390340742923,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
e3mfi6mj,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-200151,subcenter_arcface,4.356208216123879e-06,0.21319432658478396,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0035179441850077,True,3
keekq2h5,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-210155,subcenter_arcface,1.0122844504565062e-06,0.5889435127912354,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
6aopqe8u,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-220157,subcenter_arcface,1.002776656181072e-06,0.20717189965446303,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
o47vufwz,LA-CDIP_InternVL3-2B_subcenter_arcface_20260216-230153,subcenter_arcface,1.0386367499894104e-06,0.3130957966246043,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
aclb1wkd,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-000150,subcenter_arcface,1.050233693154564e-06,0.5425883070567843,32.0,2,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
1gf6m1k4,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-010155,subcenter_arcface,7.03879563521287e-05,0.33147852272727274,32.0,3,0.025342039800995045,0.10432213930348257,0.07898009950248752,0.033814573754964966,False,3
xcpw5fph,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-020202,subcenter_arcface,1.2942447994549935e-06,0.5916238162913666,32.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
pwxcbqdd,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-030210,subcenter_arcface,5.858835354901967e-05,0.30594813086474637,32.0,3,0.007462686567164179,0.06856343283582089,0.06110074626865671,0.025064816563156973,False,3
f9i7qrao,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-040219,subcenter_arcface,1.7210921598588969e-06,0.5396220515538614,32.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
hwrqkzp6,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-050212,subcenter_arcface,5.2335425243421815e-05,0.3246038406577605,32.0,3,0.025342039800995045,0.08644278606965175,0.061100746268656705,0.02506481656315697,False,3
ov2wo9ia,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-060206,subcenter_arcface,3.421068726129085e-06,0.3463443525063259,32.0,3,0.010416666666666685,0.017879353233830865,0.00746268656716418,0.0035179441850076995,False,3
rncqj5w7,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-070212,subcenter_arcface,8.237383282278107e-06,0.1184484510932304,32.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
01913sor,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-080203,subcenter_arcface,0.00024753824251683436,0.14777386246303617,32.0,3,0.0715174129353234,0.18330223880597013,0.11178482587064673,0.05269587227126114,False,3
nokj8bc2,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-090210,subcenter_arcface,0.00013252351146939348,0.16884851529193554,32.0,3,0.04322139303482585,0.16993159203980102,0.12671019900497515,0.05430519713505836,False,3
17kvlpyg,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-100209,subcenter_arcface,4.138764067855589e-05,0.1721824748692101,32.0,3,0.017879353233830865,0.06110074626865672,0.043221393034825854,0.018863443761563483,False,3
87t5yxu2,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-110227,subcenter_arcface,4.908204938786376e-05,0.25990514466267434,32.0,3,0.025342039800995045,0.06110074626865672,0.035758706467661674,0.01459843078462196,False,3
m2rmlhxz,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-120249,subcenter_arcface,1.5104662280913208e-06,0.1622404101834692,32.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
zkoz5sdu,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-130250,subcenter_arcface,1.041365346203758e-06,0.15394639742439684,32.0,3,0.017879353233830865,0.017879353233830865,0.0,0.0,False,3
glqrhvw6,LA-CDIP_InternVL3-2B_subcenter_arcface_20260217-140247,subcenter_arcface,2.9642462209795965e-05,0.436123039573761,32.0,3,0.025342039800995045,0.06110074626865672,0.035758706467661674,0.016856815886495215,False,3
