run_id,run_name,loss_type,lr,margin,scale,k,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_epochs
gf0ybgog,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-141636,subcenter_arcface,1.2552126912817843e-05,0.3725485287600312,32.0,2,0.3745861981156099,0.3973771326712503,0.022790934555640407,0.009334559933495204,False,3
8krisktl,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-151742,subcenter_arcface,6.052084348028972e-06,0.2672475574226718,32.0,2,0.39088362617774386,0.39088362617774386,0.0,0.010743749582581431,True,3
ahvxg2dz,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-161842,subcenter_arcface,2.3489946319947803e-05,0.434120284884832,32.0,2,0.3615991851285969,0.3745861981156099,0.012987012987012991,0.019174038998849195,True,3
ck0tt4fx,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-171944,subcenter_arcface,1.0155896801010982e-06,0.4518836333773205,32.0,2,0.3745861981156099,0.39088362617774386,0.016297428062133967,0.007682681265756575,False,3
pxmxoiy8,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-182101,subcenter_arcface,1.0523615366904935e-06,0.4966108566086165,32.0,2,0.3745861981156099,0.39088362617774386,0.016297428062133967,0.007682681265756575,False,3
5qrqlkeq,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-192213,subcenter_arcface,0.0009449462724047008,0.1087892933341474,32.0,2,0.4766997708174179,0.4766997708174179,0.0,0.019623912771594382,True,3
c6vxieba,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-202307,subcenter_arcface,1.0164363942453636e-06,0.5836764702154141,32.0,2,0.3745861981156099,0.39088362617774386,0.016297428062133967,0.007682681265756575,False,3
ik0muizu,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-212413,subcenter_arcface,1.0088104520637411e-06,0.5504388851944226,32.0,2,0.3745861981156099,0.39088362617774386,0.016297428062133967,0.007682681265756575,False,3
12d0ai6i,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-222512,subcenter_arcface,7.03025907498748e-05,0.46816390171321687,32.0,3,0.39088362617774386,0.39088362617774386,0.0,0.013654336803151208,True,3
0junsqpj,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-232615,subcenter_arcface,4.56582285933409e-06,0.17828594915591825,32.0,3,0.3810797046091164,0.4006875477463713,0.019607843137254888,0.008004868440467897,False,3
